value,sourceX,sourceY,targetX,targetY,member group,responder type
6,meetup3,did not respond,meetup4,responded but did not show up,before meetup 3,very late responders
1,meetup1,responded but did not show up,meetup2,responded No,before meetup 1,normal responders
1,meetup3,responded No,meetup4,responded and showed up,before meetup 1,normal responders
10,meetup3,did not respond,meetup4,responded and showed up,all members,all responders
1,meetup2,responded No,meetup3,responded but did not show up,all members,early responders
2,meetup3,responded No,meetup4,responded No,all members,normal responders
2,meetup2,responded and showed up,meetup3,responded but did not show up,before meetup 2,all responders
699,meetup3,did not respond,meetup4,did not respond,all members,all responders
3,meetup3,did not respond,meetup4,responded and showed up,before meetup 2,all responders
14,meetup3,joined meetup group,meetup4,responded No,before meetup 4,all responders
2,meetup1,responded and showed up,meetup2,responded No,all members,early responders
1,meetup3,responded but did not show up,meetup4,responded but did not show up,all members,normal responders
7,meetup1,did not respond,meetup2,responded No,before meetup 1,all responders
1,meetup2,did not respond,meetup3,responded No,before meetup 2,early responders
1,meetup3,responded and showed up,meetup4,responded and showed up,before meetup 2,normal responders
3,meetup2,responded and showed up,meetup3,responded No,before meetup 1,early responders
1,meetup2,responded but did not show up,meetup3,responded and showed up,before meetup 2,early responders
3,meetup2,responded and showed up,meetup3,responded and showed up,all members,very late responders
1,meetup2,did not respond,meetup3,did not respond,before meetup 2,normal responders
3,meetup1,joined meetup group,meetup2,responded and showed up,all members,very late responders
4,meetup2,responded No,meetup3,responded and showed up,before meetup 1,early responders
11,meetup2,did not respond,meetup3,responded but did not show up,all members,all responders
1,meetup1,responded but did not show up,meetup2,responded but did not show up,all members,all responders
11,meetup2,responded and showed up,meetup3,did not respond,before meetup 1,all responders
1,meetup3,joined meetup group,meetup4,responded No,before meetup 4,normal responders
3,meetup1,responded and showed up,meetup2,responded and showed up,all members,normal responders
7,meetup3,joined meetup group,meetup4,responded but did not show up,before meetup 4,very late responders
9,before meetup1,joined meetup group,meetup1,responded and showed up,before meetup 1,early responders
1,meetup3,responded but did not show up,meetup4,responded and showed up,before meetup 2,all responders
1,meetup2,responded but did not show up,meetup3,responded but did not show up,before meetup 2,all responders
