value,sourceX,sourceY,targetX,targetY,first_product
100,2000,1,2001,0,A
100,2000,1,2001,1,A
10,2000,1,2001,2,A
10,2000,1,2001,3+,A
100,2000,2,2001,2,A
120,2000,2,2001,0,A
100,2000,3+,2001,2,A
80,2000,3+,2001,1,A
120,2000,3+,2001,3,A
100,2001,1,2002,1,A
10,2002,1,2003,2,A
90,2002,1,2003,1,A
100,2000,1,2001,0,B
100,2000,1,2001,1,B
10,2000,1,2001,2,B
10,2000,1,2001,3+,B
100,2000,2,2001,2,B
120,2000,2,2001,0,B
100,2001,1,2002,1,B
10,2002,1,2003,2,B
90,2002,1,2003,1,B
100,2000,1,2001,0,C
100,2000,1,2001,1,C
10,2000,1,2001,2,C
10,2000,1,2001,3+,C
100,2000,2,2001,2,C
120,2000,2,2001,0,C
100,2001,1,2002,1,C
10,2002,1,2003,2,C
90,2002,1,2003,1,C
100,2000,1,2001,0,D
100,2000,1,2001,1,D
10,2000,1,2001,2,D
10,2000,1,2001,3+,D
100,2000,2,2001,2,D
120,2000,2,2001,0,D
100,2001,1,2002,1,D
10,2002,1,2003,2,D
90,2002,1,2003,1,D
