value,sourceX,sourceY,targetX,targetY,first_product,age
100,2000,1,2001,0,A,18-30
100,2000,1,2001,1,A,18-30
10,2000,1,2001,2,A,18-30
10,2000,1,2001,3+,A,18-30
100,2000,2,2001,2,A,18-30
120,2000,2,2001,0,A,18-30
100,2001,1,2002,1,A,18-30
10,2002,1,2003,2,A,18-30
90,2002,1,2003,1,A,18-30
100,2000,1,2001,0,A,30-50
100,2000,1,2001,1,A,30-50
10,2000,1,2001,2,A,30-50
10,2000,1,2001,3+,A,30-50
100,2000,2,2001,2,A,30-50
120,2000,2,2001,0,A,30-50
100,2001,1,2002,1,A,30-50
10,2002,1,2003,2,A,30-50
90,2002,1,2003,1,A,30-50
100,2000,1,2001,0,A,50+
100,2000,1,2001,1,A,50+
10,2000,1,2001,2,A,50+
10,2000,1,2001,3+,A,50+
100,2000,2,2001,2,A,50+
120,2000,2,2001,0,A,50+
100,2001,1,2002,1,A,50+
10,2002,1,2003,2,A,50+
90,2002,1,2003,1,A,50+
100,2000,1,2001,0,B,18-30
100,2000,1,2001,1,B,18-30
10,2000,1,2001,2,B,18-30
10,2000,1,2001,3+,B,18-30
100,2000,2,2001,2,B,18-30
120,2000,2,2001,0,B,18-30
100,2001,1,2002,1,B,18-30
10,2002,1,2003,2,B,18-30
90,2002,1,2003,1,B,18-30
100,2000,1,2001,0,B,30-50
100,2000,1,2001,1,B,30-50
10,2000,1,2001,2,B,30-50
10,2000,1,2001,3+,B,30-50
100,2000,2,2001,2,B,30-50
120,2000,2,2001,0,B,30-50
100,2001,1,2002,1,B,30-50
10,2002,1,2003,2,B,30-50
90,2002,1,2003,1,B,30-50
100,2000,1,2001,0,B,50+
100,2000,1,2001,1,B,50+
10,2000,1,2001,2,B,50+
10,2000,1,2001,3+,B,50+
100,2000,2,2001,2,B,50+
120,2000,2,2001,0,B,50+
100,2001,1,2002,1,B,50+
10,2002,1,2003,2,B,50+
90,2002,1,2003,1,B,50+
100,2000,1,2001,0,C,18-30
100,2000,1,2001,1,C,18-30
10,2000,1,2001,2,C,18-30
10,2000,1,2001,3+,C,18-30
100,2000,2,2001,2,C,18-30
120,2000,2,2001,0,C,18-30
100,2001,1,2002,1,C,18-30
10,2002,1,2003,2,C,18-30
90,2002,1,2003,1,C,18-30
100,2000,1,2001,0,C,30-50
100,2000,1,2001,1,C,30-50
10,2000,1,2001,2,C,30-50
10,2000,1,2001,3+,C,30-50
100,2000,2,2001,2,C,30-50
120,2000,2,2001,0,C,30-50
100,2001,1,2002,1,C,30-50
10,2002,1,2003,2,C,30-50
90,2002,1,2003,1,C,30-50
100,2000,1,2001,0,C,50+
100,2000,1,2001,1,C,50+
10,2000,1,2001,2,C,50+
10,2000,1,2001,3+,C,50+
100,2000,2,2001,2,C,50+
120,2000,2,2001,0,C,50+
100,2001,1,2002,1,C,50+
10,2002,1,2003,2,C,50+
90,2002,1,2003,1,C,50+
100,2000,1,2001,0,D,18-30
100,2000,1,2001,1,D,18-30
10,2000,1,2001,2,D,18-30
10,2000,1,2001,3+,D,18-30
100,2000,2,2001,2,D,18-30
120,2000,2,2001,0,D,18-30
100,2001,1,2002,1,D,18-30
10,2002,1,2003,2,D,18-30
90,2002,1,2003,1,D,18-30
100,2000,1,2001,0,D,30-50
100,2000,1,2001,1,D,30-50
10,2000,1,2001,2,D,30-50
10,2000,1,2001,3+,D,30-50
100,2000,2,2001,2,D,30-50
120,2000,2,2001,0,D,30-50
100,2001,1,2002,1,D,30-50
10,2002,1,2003,2,D,30-50
90,2002,1,2003,1,D,30-50
100,2000,1,2001,0,D,50+
100,2000,1,2001,1,D,50+
10,2000,1,2001,2,D,50+
10,2000,1,2001,3+,D,50+
100,2000,2,2001,2,D,50+
120,2000,2,2001,0,D,50+
100,2001,1,2002,1,D,50+
10,2002,1,2003,2,D,50+
90,2002,1,2003,1,D,50+
